name,price
"NEW LISTINGiRULU Tablet/Laptop 2-in-1 Windows10 Computer,Intel Quad Core,2G RAM+32G SSD,HD",$98.00
"Acer Touchscreen V3-112P 11.6"" Laptop / Quad Core / 4GB / 320GB / Windows 10",$118.95
"NEW LISTINGDELL INSPIRON I7373-5558GRY-PUS 2-IN-1 13.3"" FHD TOUCH SCREEN LAPTOP 256GB SSD",$40.00
"NEW LISTINGHP Touchscreen 15.6"" Laptop PC i5-7200U HDMI DVD-RW 8GB RAM, 128GB SSD Win 10",$504.99
HP Chromebook 14 SMB Thin Laptop Intel 2955U 1.40GHZ 16GB SSD CHROME OS,$79.95
"NEW LISTINGHP ZBook 17.3"" LCD Intel Core i7-4700MQ 16 GB RAM 120GB SSD & 500 GB HD Laptop",$349.95
"NEW LISTINGDell Latitude E6410 14"" Laptop - i5 2.4GHZ 4GB 128GB SSD Windows 10 Webcam",$99.99
"HP ProBook 6570b Core i5-3230M 2.6Ghz 8GB 500GB 15"" Win-10 Laptop",$128.64
"NEW LISTINGDell Latitude E5500 15.4"" Laptop Notebook Intel C2D T7250 2.00GHz 2GB DC7NXG1",$24.99
"NEW HP Stream 14"" Laptop Celeron N3060 4GB RAM 32GB 32 GB eMMC Windows 10",$209.99
"NEW LISTINGToshiba Satellite C855D-S5303 Laptop 15.6"" 320GB HDD 1.3GHz 2GB RAM WINDOWS 10",$9.99
"NEW LISTINGNEW HP 15.6"" HD Touchscreen Laptop Intel Pentium N5000 4GB RAM 128GBSSD Win10",$380.00
"NEW LISTINGNew HP 15.6 INCH AMD A6-9225 Laptop DVD-RW 4GB RAM, 1TB HDD Hard Drive Win 10",$365.00
HOT! LENOVO 15.6” Laptop Intel 2.60GHz 4GB 1TB DVD+RW WebCam HDMI USB Windows 10,$274.95
"NEW LISTINGDELL Inspiron 15.6"" FHD Touchscreen Laptop i5-8250U HDMI 8GB Ram,1TB HDD Win 10",$644.00
"NEW LISTINGHP Notebook, Laptop 15-da0061cl",$0.99
HP 15.6 TouchScreen Intel Pentium 2.70GHz 8GB 128GB SSD Drive DVDRW Win10 Laptop,$366.95
"NEW LISTINGHP Touchscreen 15.6"" Laptop PC i5-7200U HDMI DVD-RW 16GB RAM , 128GB SSD Win 10",$564.99
"NEW LISTINGDELL Inspiron 15.6"" FHD Touchscreen Laptop i5-8250U HDMI 8GB Ram,2TB HDD Win 10",$694.00
"NEW LISTINGHP Touchscreen 15.6"" Laptop PC i5-7200U HDMI DVD-RW 8GB RAM, 512GB SSD Win 10",$604.99
HP 17.3” HD+ TouchScreen Laptop Intel Core i3 3.40GHz 8GB 1TB DVD+RW WebCam BT,$457.95
"NEW LISTINGNew HP 15.6 INCH AMD A6-9225 Laptop DVD-RW 4GB RAM, 2TB HDD Hard Drive Win 10",$415.00
"NEW LISTINGNew HP 15.6 INCH AMD A6-9225 Laptop DVD-RW 8GB RAM, 2TB HDD Hard Drive Win 10",$455.00
"NEW LISTINGDELL Inspiron 15.6"" FHD Touchscreen Laptop i5-8250U HDMI 16GB Ram,2TB HDD Win 10",$754.00
"Dell Inspiron 15.6"" HD Touchscreen Intel Core i5-7200U Customize Laptop PC WIN10",$508.00 to $818.00
"NEW LISTINGLenovo Flex 14"" FHD Touch 2-in-1 Laptop Intel i5-8250U/8GB/512GB New!!!",$649.99
